fire,state,date,filename,url
6-5,CA,2025-09-21,6-5-CA-dNBR_20250921_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250921_235959.tif
6-5,CA,2025-09-22,6-5-CA-dNBR_20250922_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250922_235959.tif
6-5,CA,2025-09-24,6-5-CA-dNBR_20250924_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250924_235959.tif
6-5,CA,2025-09-25,6-5-CA-dNBR_20250925_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250925_235959.tif
6-5,CA,2025-09-26,6-5-CA-dNBR_20250926_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250926_235959.tif
6-5,CA,2025-09-27,6-5-CA-dNBR_20250927_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250927_235959.tif
6-5,CA,2025-09-28,6-5-CA-dNBR_20250928_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250928_235959.tif
6-5,CA,2025-09-30,6-5-CA-dNBR_20250930_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250930_235959.tif
6-5,CA,2025-10-06,6-5-CA-dNBR_20251006_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20251006_235959.tif
6-5,CA,2025-10-07,6-5-CA-dNBR_20251007_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20251007_235959.tif
6-5,CA,2025-10-08,6-5-CA-dNBR_20251008_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20251008_235959.tif
6-5,CA,2025-10-09,6-5-CA-dNBR_20251009_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20251009_235959.tif
33-Incident,CO,2025-12-18,33-Incident-CO-dNBR_20251218_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/33-Incident-CO-dNBR_20251218_235959.tif
